Ticker,Date,Name,Sector,Industry,Country,Website,Market Cap,Enterprise Value,Float Shares,Shares Outstanding,P/E (trailing),P/E (forward),P/S,P/B,EV/EBITDA,EV/Revenue,Gross Margin (%),EBITDA Margin (%),Operating Margin (%),Profit Margin (%),ROE,ROA,Revenue (TTM),Revenue Growth (%),EPS (trailing),EPS (forward),Earnings Growth (%),Earnings Quarterly Growth (%),Total Cash,Total Debt,Debt to Equity,Current Ratio,Quick Ratio,Book Value,Free Cash Flow,Operating Cash Flow,Dividend Yield (%),Dividend Rate (%),5Y Avg Dividend Yield (%),Payout Ratio (%),Price,Target Price,Target High,Target Low,Analyst Rating,Analyst Rating Value,Beta,52W High,52W Low,50 Day Avg,200 Day Avg,Short Ratio,Short % of Float
A,2025-06-11,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,https://www.agilent.com,34369024000.0,36433481728.0,282982441.0,284064992.0,28.88,21.41,5.18,5.6,19.86,5.5,0.5358,0.2769,0.2356,0.1759,0.19,0.08,6627999744.0,0.06,4.19,5.65,-0.286,-0.302,1486000000.0,3684000000.0,60.04,2.09,1.42,21.61,1048374976.0,1584999936.0,0.0085,0.009899999999999999,0.0065,0.2384,120.99,136.82,165.0,113.2,buy,2.05,1.23,153.84,96.43,109.13,129.93,1.83,0.02
AAPL,2025-06-11,Apple Inc.,Technology,Consumer Electronics,United States,https://www.apple.com,3005680451584.0,3076731961344.0,14911480604.0,14935799808.0,31.1,24.22,7.52,45.01,22.16,7.68,0.4663,0.3468,0.3103,0.243,1.38,0.24,400366010368.0,0.051,6.47,8.31,0.078,0.048,48497999872.0,98186002432.0,146.99,0.82,0.68,4.47,97251500032.0,109555998720.0,0.0052,0.0104,0.0056,0.1558,201.24,228.85,300.0,170.62,buy,2.11,1.21,260.1,169.21,202.93,224.87,1.67,0.01
ABBV,2025-06-11,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,https://www.abbvie.com,338521751552.0,399623389184.0,1762781901.0,1766400000.0,81.55,15.8,5.9,238.36,14.6,6.97,0.7101,0.477,0.3043,0.0731,0.88,0.08,57366999040.0,0.084,2.35,12.13,-0.063,-0.061,5176000000.0,70024003584.0,4789.6,0.76,0.48,0.8,16941375488.0,16401000448.0,0.0347,0.06559999999999999,0.0393,2.688,191.64,208.86,250.0,170.0,buy,2.0,0.49,218.66,163.52,186.01,188.94,2.19,0.01
ABNB,2025-06-11,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,https://www.airbnb.com,86382043136.0,76308996096.0,414662045.0,431601984.0,35.7,31.1,7.7,10.92,30.14,6.79,0.8305,0.2254,0.0167,0.226,0.32,0.06,11232000000.0,0.061,3.92,4.5,-0.395,-0.417,11491999744.0,2280000000.0,28.73,1.27,0.7,12.82,3194249984.0,4384000000.0,0.0,0.0,0.0,0.0,139.96,138.96,200.0,96.0,hold,2.69,1.14,163.93,99.88,124.66,130.15,2.6,0.04
ABT,2025-06-11,Abbott Laboratories,Healthcare,Medical Devices,United States,https://www.abbott.com,234165059584.0,240063266816.0,1729780210.0,1739840000.0,17.39,26.08,5.53,4.8,21.78,5.67,0.5599,0.2603,0.1809,0.3189,0.31,0.06,42344001536.0,0.04,7.74,5.16,0.086,0.082,6844000256.0,13290000384.0,27.09,1.78,1.09,28.06,6032374784.0,8949999616.0,0.0177,0.0236,0.0167,0.2909,134.59,140.81,159.0,120.12,buy,1.89,0.74,141.23,99.71,131.13,122.72,3.01,0.01
ACGL,2025-06-11,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,https://www.archgroup.com,33810397184.0,33294495744.0,360353420.0,374755008.0,9.52,9.98,1.86,1.63,7.47,1.83,0.3392,0.2453,0.1605,0.2072,0.18,0.04,18172000256.0,0.186,9.48,9.04,-0.493,-0.488,3768000000.0,2728000000.0,12.66,0.58,0.29,55.38,7810124800.0,6567000064.0,0.0,0.0,0.0,0.0,90.22,111.79,125.0,93.0,buy,2.0,0.52,116.47,82.49,92.8,97.81,2.48,0.01
ACN,2025-06-11,Accenture plc,Technology,Information Technology Services,Ireland,https://www.accenture.com,200995028992.0,201404940288.0,624930280.0,626025984.0,26.12,22.82,2.99,6.88,17.56,3.0,0.3218,0.1707,0.1347,0.1143,0.27,0.12,67221491712.0,0.054,12.29,14.07,0.072,0.068,8495499776.0,8060329984.0,26.71,1.48,1.33,46.69,8601244672.0,10407318528.0,0.0187,0.0592,0.0138,0.4567,321.06,352.93,395.0,280.0,buy,1.85,1.33,398.35,275.01,304.94,342.01,3.02,0.01
ADBE,2025-06-11,Adobe Inc.,Technology,Software - Application,United States,https://www.adobe.com,177022173184.0,176451764224.0,425006640.0,426200000.0,27.43,20.21,8.03,13.8,20.36,8.01,0.8916,0.3932,0.3785,0.3064,0.47,0.17,22037000192.0,0.103,15.14,20.55,2.044,1.921,7436000256.0,6562999808.0,50.12,1.18,1.03,30.1,8357374976.0,9363999744.0,0.0,0.0,0.0012,0.0,415.35,490.52,630.0,380.0,buy,1.87,1.54,587.75,332.01,384.16,455.14,2.65,0.02
ADI,2025-06-11,"Analog Devices, Inc.",Technology,Semiconductors,United States,https://www.analog.com,116236165120.0,120637333504.0,494436890.0,496248000.0,61.97,31.06,11.84,3.32,27.6,12.29,0.5876,0.4452,0.2574,0.1865,0.05,0.03,9818655744.0,0.223,3.78,7.54,0.871,0.885,2376235008.0,7219018240.0,20.62,2.08,1.4,70.55,2982311936.0,3852131072.0,0.0174,0.039599999999999996,0.0174,1.019,234.23,243.88,300.0,155.0,buy,1.94,1.0,247.1,158.65,201.84,215.47,1.63,0.01
ADM,2025-06-11,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,https://www.adm.com,23402719232.0,35206131712.0,475136238.0,480449984.0,16.85,9.61,0.28,1.06,13.49,0.42,0.0632,0.0311,0.0123,0.0163,0.06,0.02,83857997824.0,-0.077,2.89,5.07,-0.57,-0.595,897000000.0,12423000064.0,55.5,1.38,0.36,46.08,95125000.0,1748000000.0,0.0426,0.0204,0.0266,0.7077,48.71,49.27,60.0,44.0,none,,0.66,66.08,40.98,47.65,51.63,3.46,0.03
